,index,Date,VH,Team,Final,ML,Probability,Week,Result,elton-alexander,tyson-alger,mike-barber,mark-berman,john-bohnenkamp,dave-borges,zac-boyer,rick-bozich,aaron-brenner,kevin-brockway,jp-butler,jason-butt,christian-caple,nick-carboni,jerry-carino,ray-coleman,graham-couch,richard-croome,chris-dachille,seth-davis,doug-doughty,jay-drew,jeff-faraudo,john-feinstein,marcus-fuller,chris-goff,cormac-gordon,geoff-grammer,tom-green,doug-haller,kelly-hines,bob-holt,cecil-hurt,marcus-jackson,joe-juliano,michelle-kaufman,laura-keeley,kevin-lyttle,fletcher-mackel,scott-mansch,matt-mccoy,chuck-mcgill,john-mcnamara,kevin-mcnamara,chris-murray,dana-oneil,zach-osterman,tod-palmer,soren-petro,bj-rains,ryan-recker,pat-rooney,randy-rosetta,jon-rothstein,shannon-ryan,adam-sparks,bret-strelow,bob-sutton,terry-toohey,matt-vautour,matt-velazquez,dick-vitale,john-werner,jon-wilner,scott-wolf,scott-richey
56,247,1116,H,south-carolina,84.0,-1205,0.9233716475095786,2,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,251,1116,H,marquette,75.0,-1095,0.9163179916317992,2,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,259,1116,H,boise-state,101.0,-1900,0.95,2,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,266,1116,V,monmouth,90.0,530,0.15873015873015872,2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,267,1116,H,usc,101.0,-680,0.8717948717948718,2,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,269,1116,H,lsu,91.0,-7000,0.9859154929577465,2,W,21.0,25.0,20.0,22.0,19.0,18.0,22.0,23.0,17.0,20.0,25.0,21.0,24.0,19.0,20.0,24.0,21.0,,18.0,20.0,23.0,24.0,17.0,,22.0,,19.0,25.0,16.0,,20.0,21.0,25.0,25.0,18.0,21.0,22.0,,18.0,22.0,22.0,,21.0,21.0,19.0,17.0,,24.0,,19.0,20.0,23.0,15.0,,,18.0,24.0,14.0,24.0,17.0,20.0,19.0,22.0,25.0,,
62,272,1117,V,valparaiso,58.0,105,0.4878048780487805,2,W,25.0,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,
63,273,1117,H,rhode-island,55.0,-115,0.5348837209302325,2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,275,1117,H,dayton,80.0,-625,0.8620689655172413,2,W,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,25.0,,,,,,23.0,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,
65,276,1117,V,colorado,91.0,-110,0.5238095238095238,2,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,278,1117,V,oklahoma,84.0,-195,0.6610169491525424,2,W,11.0,8.0,11.0,11.0,13.0,7.0,9.0,11.0,13.0,10.0,8.0,8.0,7.0,8.0,8.0,9.0,7.0,14.0,7.0,14.0,9.0,10.0,10.0,8.0,7.0,8.0,3.0,8.0,9.0,10.0,8.0,12.0,13.0,8.0,11.0,9.0,8.0,7.0,11.0,11.0,6.0,10.0,8.0,19.0,8.0,8.0,13.0,8.0,9.0,8.0,8.0,7.0,11.0,6.0,8.0,10.0,6.0,5.0,8.0,9.0,8.0,9.0,8.0,11.0,10.0,
67,283,1117,H,xavier,78.0,-1085,0.9156118143459916,2,W,,,,25.0,,,,,20.0,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
